motion_param,coherence_gastric_band,coherence_peak,peak_frequency,coherence_broadband,specificity_ratio,subject,run
trans_x,0.12269455240738847,0.21884858876105293,0.0625,0.08445772243752336,1.4527333761915855,LA,1
trans_y,0.056495718665809866,0.11974445599665133,0.0625,0.08300740154576712,0.6806106147847457,LA,1
trans_z,0.06275197038535785,0.1194119201686195,0.0546875,0.04913090594119918,1.277240243294854,LA,1
rot_x,0.13677779575876564,0.25229323380704616,0.0546875,0.0612509852502437,2.233070945334946,LA,1
rot_y,0.051609622341481365,0.13718701438086336,0.0625,0.06004292111915409,0.8595454933498065,LA,1
rot_z,0.173634143017121,0.3566059720057393,0.0546875,0.18974865982387534,0.9150744099419764,LA,1
trans_x,0.04715738747560061,0.07227150552064726,0.0625,0.17765324455145803,0.265446249338816,LA,2
trans_y,0.04328960162600402,0.10490052415215108,0.0625,0.1033491830151093,0.4188673806718772,LA,2
trans_z,0.12441619186781627,0.1500993513393813,0.0546875,0.07262947573172886,1.7130261569843785,LA,2
rot_x,0.05261511410098754,0.09609063662667952,0.0625,0.045568520601619755,1.154637308626025,LA,2
rot_y,0.04320803818544531,0.06299290047495458,0.0390625,0.11062434731259836,0.39058344022849895,LA,2
rot_z,0.11537419335737392,0.18194541853083546,0.0390625,0.04830138995270842,2.388630911687489,LA,2
trans_x,0.058782033705452076,0.1089153268822657,0.046875,0.03528704458497428,1.665824787262003,BS,1
trans_y,0.025350138500915564,0.07461375706409576,0.0390625,0.11052418625195456,0.2293628149425165,BS,1
trans_z,0.08708468927971523,0.19139088318403635,0.0390625,0.13631364151669526,0.6388552770425684,BS,1
rot_x,0.03530414773431503,0.09669345307937406,0.0625,0.14198472201095136,0.24864751086900216,BS,1
rot_y,0.17040541400361073,0.37966805150462973,0.0546875,0.1679786421647837,1.014446906500183,BS,1
rot_z,0.019468671884641166,0.04403938261694769,0.046875,0.04477577451056411,0.4348036869036734,BS,1
trans_x,0.11077923663718725,0.17111165910609627,0.046875,0.1006632368310949,1.1004934871408603,BS,2
trans_y,0.1448670408846238,0.3172117121175572,0.0546875,0.28998296374433935,0.4995708677644502,BS,2
trans_z,0.23459310301335906,0.2846972370434374,0.046875,0.2973956411814611,0.7888249538645239,BS,2
rot_x,0.10282873334579566,0.25573692440326146,0.0390625,0.17126073586206012,0.6004221152510731,BS,2
rot_y,0.11885493374167722,0.2948583182101257,0.046875,0.26953808299108567,0.44095785047752334,BS,2
rot_z,0.09520481532895769,0.1373167098467439,0.0546875,0.11030926259774673,0.8630718128342855,BS,2
trans_x,0.07218076024263961,0.14648534226030235,0.0390625,0.10541879816038803,0.6847048290604744,OE,1
trans_y,0.18305792092772652,0.28138353219413553,0.0390625,0.17368937454058397,1.0539385112447373,OE,1
trans_z,0.0709237876356593,0.14895943508564854,0.0546875,0.13938394987578595,0.508837550148208,OE,1
rot_x,0.06960814688653377,0.1508909570389982,0.0390625,0.10378165794865472,0.6707172365072469,OE,1
rot_y,0.24237856463063295,0.4535916498965798,0.0546875,0.1497869951827993,1.6181549284236583,OE,1
rot_z,0.20623608413884292,0.2662508519732489,0.0546875,0.2438470636853642,0.845759965026166,OE,1
trans_x,0.05098437783990334,0.1059386143765884,0.0390625,0.12073106596160102,0.42229708974730173,OE,2
trans_y,0.24001402384633558,0.37862713589610253,0.0390625,0.39713402556525695,0.6043652981994614,OE,2
trans_z,0.14303632862911786,0.264420929602565,0.0390625,0.18855431426723746,0.7585948330544875,OE,2
rot_x,0.04364669114680894,0.0776235805918963,0.0390625,0.2489745351004607,0.17530584447789815,OE,2
rot_y,0.03434275456442864,0.09543031488539215,0.0390625,0.17120992367057056,0.2005885745878233,OE,2
rot_z,0.24274033099884984,0.33455867972316744,0.0390625,0.38506090357475486,0.6303946432429365,OE,2
trans_x,0.1679901303763138,0.31818686477391434,0.0625,0.3025181809301412,0.5553058986546537,OE,3
trans_y,0.14646389663842538,0.1974014892838335,0.046875,0.14478518971045,1.011594465084261,OE,3
trans_z,0.15408670191484042,0.23563481065485486,0.0390625,0.3290515147124185,0.46827531550091844,OE,3
rot_x,0.14825380692426685,0.3492693342298918,0.046875,0.11971160441187972,1.2384246918146913,OE,3
rot_y,0.20809167174468907,0.30307160579672704,0.0546875,0.19971355570997296,1.0419506622909858,OE,3
rot_z,0.14696686858944974,0.2592644944619076,0.0625,0.2022299688183807,0.7267314007686222,OE,3
trans_x,0.3654180171333332,0.5020248935859387,0.046875,0.2799223426578151,1.3054264033846263,AE,1
trans_y,0.14021651122481926,0.3903447837381552,0.0625,0.1570146450264455,0.8930154961780888,AE,1
trans_z,0.1299341104397579,0.22199489658690663,0.046875,0.05943561020985642,2.1861323499896903,AE,1
rot_x,0.23243660222191206,0.26884893736970017,0.046875,0.19012001447925092,1.2225782894889354,AE,1
rot_y,0.2911707214391336,0.35531207012939947,0.046875,0.153960902280739,1.8911991092328124,AE,1
rot_z,0.04408198608571316,0.08483696021332468,0.0546875,0.2339117197812383,0.1884556537316492,AE,1
trans_x,0.09079549152716174,0.18104394635643445,0.0390625,0.09756095239932233,0.9306540086085405,AE,2
trans_y,0.05021664705392412,0.11754766717055695,0.0625,0.05317254839033081,0.9444092577781144,AE,2
trans_z,0.181941990410348,0.4035693516396411,0.046875,0.24625566461756038,0.7388337263998532,AE,2
rot_x,0.03261890917946215,0.045030738984767414,0.0546875,0.0830202784378104,0.39290291184227155,AE,2
rot_y,0.2024153177081361,0.4147349253898111,0.046875,0.35963668228733414,0.5628327910391847,AE,2
rot_z,0.13015591973128296,0.2698294277128439,0.046875,0.06215436592353675,2.0940752526056694,AE,2
trans_x,0.31513384464941946,0.5245054635734016,0.0546875,0.13245484157863127,2.3791795049214834,AE,3
trans_y,0.13463799211091573,0.24386225810939088,0.0625,0.047369447117837894,2.8422960371852333,AE,3
trans_z,0.08900295391506483,0.2547553628568061,0.0625,0.04129818819367874,2.1551297427903866,AE,3
rot_x,0.1659990413809036,0.2561475383952154,0.0625,0.17645722366210814,0.9407324780576634,AE,3
rot_y,0.20889224042129514,0.3150236380495485,0.0390625,0.07855029147878026,2.65934392123537,AE,3
rot_z,0.11302943154145283,0.18418081272602155,0.0625,0.048692513927340676,2.3212897053946975,AE,3
trans_x,0.11561937008269473,0.20112481251090772,0.0390625,0.17412112347387665,0.6640169079407495,SE,1
trans_y,0.1186624834890295,0.215439333281397,0.0546875,0.14023718978429656,0.8461555995733557,SE,1
trans_z,0.0801752024095615,0.16926313362429327,0.0546875,0.23386240488599996,0.3428306589695814,SE,1
rot_x,0.13181425107744904,0.22911756506531386,0.0625,0.15566928300990568,0.8467582585601393,SE,1
rot_y,0.07249980457749544,0.1968742065858905,0.0546875,0.19696268225695604,0.3680890395577769,SE,1
rot_z,0.13595196266879264,0.2590045884539368,0.046875,0.08186059849184235,1.6607741087583576,SE,1
trans_x,0.19606847039800718,0.2608022883021082,0.0625,0.08552420529489244,2.292549454188984,SE,2
trans_y,0.05719556539437766,0.07667529670829994,0.0546875,0.0434398621818287,1.3166608361533203,SE,2
trans_z,0.20313671689150295,0.2168180323748438,0.046875,0.05889208491922755,3.449304211681099,SE,2
rot_x,0.13871955417337922,0.22657189888289866,0.046875,0.15353234969416496,0.9035200357407106,SE,2
rot_y,0.15890438064607293,0.28978207812233925,0.0625,0.16185839558144008,0.9817493864131641,SE,2
rot_z,0.15137839476788764,0.18488890434779906,0.0546875,0.11059044434642229,1.3688198426693716,SE,2
trans_x,0.09650168552812123,0.13819487975202185,0.046875,0.08164493141939246,1.1819678666176598,SE,3
trans_y,0.16033801961872116,0.24095011451491594,0.0546875,0.31511065715714504,0.5088308374409496,SE,3
trans_z,0.16441416165675604,0.2740465570349045,0.0390625,0.13778039378016785,1.1933059343679366,SE,3
rot_x,0.16872977898442343,0.2870337703033971,0.0546875,0.13374340955502287,1.2615932210764196,SE,3
rot_y,0.10681760011377803,0.14412758331619896,0.046875,0.24767500803830161,0.4312813025290429,SE,3
rot_z,0.13242497520720367,0.24271393184425444,0.0390625,0.21556989531739945,0.6143018019783998,SE,3
trans_x,0.19336844538677336,0.3346886889763817,0.0390625,0.09114181868595092,2.1216215340282436,SP,1
trans_y,0.22493824689671305,0.3235002872204429,0.046875,0.12258099933591171,1.835017237025516,SP,1
trans_z,0.16955788705362707,0.20912938875667966,0.046875,0.04889428448039535,3.4678467740913215,SP,1
rot_x,0.16622742898387916,0.2909116606447685,0.0625,0.15608084333331532,1.0650085258854902,SP,1
rot_y,0.27399712179974395,0.5656734906877002,0.046875,0.22326852173491799,1.2272089211139852,SP,1
rot_z,0.19320674341973243,0.4154923934480889,0.046875,0.13805586001777523,1.3994823780381946,SP,1
trans_x,0.1498435323561856,0.24892189658125205,0.0625,0.0799712196003819,1.8737182316036385,SP,2
trans_y,0.1801078431425603,0.4531563532699512,0.046875,0.10545082961347338,1.7079793836799755,SP,2
trans_z,0.09378900787498062,0.17650198140287712,0.0625,0.095157935175915,0.9856141540170549,SP,2
rot_x,0.22525123431981384,0.327143812798207,0.046875,0.11915891638565852,1.8903430894063573,SP,2
rot_y,0.1405767695831045,0.36619071406202663,0.0625,0.0811502462796822,1.7323024372024713,SP,2
rot_z,0.12167333914250335,0.3151855391364384,0.0625,0.14760204171545288,0.8243337127722918,SP,2
trans_x,0.20917909793727835,0.2731493892031496,0.046875,0.37896228146385624,0.5519786746957059,SP,3
trans_y,0.40480248375203093,0.5088215295672388,0.0546875,0.3273836057806878,1.2364775647915545,SP,3
trans_z,0.4129074981472558,0.4866509945902464,0.0546875,0.314769363331746,1.31177791143829,SP,3
rot_x,0.26056053106538474,0.34822522546072515,0.0390625,0.13206102733996522,1.9730312274288129,SP,3
rot_y,0.1568036064541453,0.24666159306272886,0.0625,0.1774202636307299,0.8837976179097871,SP,3
rot_z,0.34432162676099437,0.5347663458550622,0.0625,0.2889190273519572,1.1917582230483237,SP,3
trans_x,0.24117613770091045,0.5276667625388839,0.0625,0.2977526093141953,0.8099883261322393,OfA,1
trans_y,0.12411571290047861,0.3124858014997183,0.0390625,0.12750861448678277,0.9733908042425248,OfA,1
trans_z,0.3882011157885724,0.6204886709771923,0.0625,0.13207367820334515,2.939276930691345,OfA,1
rot_x,0.24554076862226243,0.42348507225013876,0.046875,0.3502067881225243,0.7011308086530972,OfA,1
rot_y,0.143845426266286,0.2120345886705731,0.0390625,0.14137626084061478,1.0174652046195252,OfA,1
rot_z,0.09289731993986976,0.20152915648156064,0.0546875,0.1941622828420301,0.478451934805513,OfA,1
trans_x,0.04205124014339778,0.08021101234538644,0.0625,0.1990446932190304,0.2112653165588179,OfA,2
trans_y,0.1362058030941977,0.19532792730689819,0.0390625,0.13990283573054596,0.9735742830772478,OfA,2
trans_z,0.25165694264495775,0.31967039806236625,0.046875,0.17481960877778005,1.4395235423555732,OfA,2
rot_x,0.25419687068463354,0.3574386774932891,0.0390625,0.2024833638114571,1.2553963237976922,OfA,2
rot_y,0.145202097979862,0.26077314793011064,0.046875,0.21151403232773835,0.6864891956020404,OfA,2
rot_z,0.2502473487275375,0.30580525011666315,0.0625,0.20407175910340003,1.226271335653621,OfA,2
trans_x,0.1673293269220234,0.3006112859714367,0.046875,0.0930815664721035,1.7976634159074405,SS,1
trans_y,0.10100320543409802,0.1547219469033088,0.0625,0.05506297433328189,1.8343216376093248,SS,1
trans_z,0.03411094361988822,0.0632381481667002,0.046875,0.04811617209302045,0.7089288707973371,SS,1
rot_x,0.11515087837574917,0.2406720961177099,0.0625,0.16668240169308854,0.6908400475215847,SS,1
rot_y,0.10022865794051132,0.18246699934824095,0.0390625,0.08124209504265655,1.2337035100401517,SS,1
rot_z,0.06623744150098029,0.14537461969327112,0.0625,0.0402736400573256,1.644684742730711,SS,1
trans_x,0.04102703609280266,0.06879300861918393,0.0390625,0.16075085786109522,0.2552212573741409,SS,2
trans_y,0.09398265849815997,0.16250636315637207,0.0546875,0.04564245742912909,2.0591060075628067,SS,2
trans_z,0.04445346196481954,0.07364767091159578,0.0625,0.07718095443901363,0.5759641381780151,SS,2
rot_x,0.11149110851995703,0.23207735717558245,0.0625,0.242757749036305,0.45926899930743864,SS,2
rot_y,0.04025375897739188,0.06051546333759758,0.0546875,0.041452692496946976,0.9710770629253793,SS,2
rot_z,0.04019241676589608,0.10838126608378613,0.0625,0.13299687940624488,0.30220571275891356,SS,2
trans_x,0.030901093964173534,0.053419274758145965,0.046875,0.1360678811578981,0.22710057420240654,OzO,1
trans_y,0.044870655040621515,0.08206460779951742,0.046875,0.05537576609029422,0.8102940713529314,OzO,1
trans_z,0.062058308407565904,0.12947045410306451,0.046875,0.12059943716012103,0.5145820728310058,OzO,1
rot_x,0.01953687525616393,0.04403854296264773,0.0390625,0.15773288431485874,0.12386050840723431,OzO,1
rot_y,0.04395198824246062,0.07039286255066894,0.0625,0.1202227499478933,0.36558794591665394,OzO,1
rot_z,0.1412749174569992,0.21388729301534723,0.046875,0.09552996662510467,1.478854461066959,OzO,1
trans_x,0.059546256962624514,0.11331585521325498,0.0390625,0.030074416027547467,1.9799638573226206,OzO,2
trans_y,0.07389452806407457,0.1539658874949678,0.0625,0.10886349548704496,0.6787815113376555,OzO,2
trans_z,0.028171029297863526,0.06951482962882233,0.0625,0.07980374546876504,0.353003848341795,OzO,2
rot_x,0.14547683778991513,0.40811918653464724,0.0625,0.1933088758782803,0.7525616040841319,OzO,2
rot_y,0.10953517612460538,0.18001693453005777,0.0546875,0.14866969391585844,0.7367686928374345,OzO,2
rot_z,0.2437251761232731,0.36480765442427504,0.0546875,0.21456825769399987,1.1358864476462582,OzO,2
trans_x,0.07215009159450435,0.19017980458721026,0.0390625,0.05152175021463199,1.4003812206281738,EdZ,1
trans_y,0.04751303682503205,0.07559968361000352,0.046875,0.14154191318814635,0.3356817476976348,EdZ,1
trans_z,0.1160675582449342,0.18573814675148478,0.0390625,0.19871602654932846,0.5840875555032965,EdZ,1
rot_x,0.037037877044639574,0.05784887646384561,0.046875,0.09591825350799185,0.3861400270694003,EdZ,1
rot_y,0.12252854371798835,0.20361219223778831,0.0625,0.041115510565028116,2.980105116928737,EdZ,1
rot_z,0.2680283929704666,0.34340068786644495,0.0390625,0.2861105874518081,0.9367999809581767,EdZ,1
trans_x,0.24554832797391435,0.436670234694734,0.0625,0.11732937799718435,2.092811979029888,MaD,1
trans_y,0.09509703496507915,0.14889831694475444,0.0625,0.17930585503333196,0.5303621284110601,MaD,1
trans_z,0.052020402328758125,0.08701117631100573,0.046875,0.15808705223185462,0.32906175149345857,MaD,1
rot_x,0.14399734401829034,0.2840726386148856,0.0625,0.19225520552149908,0.7489906114780787,MaD,1
rot_y,0.15083609319113467,0.3344116735291745,0.0625,0.13801854186753462,1.092868327986069,MaD,1
rot_z,0.03592678176302908,0.09054641445941453,0.046875,0.03945318541141137,0.9106180222795364,MaD,1
trans_x,0.14251971383324571,0.31534787268872694,0.0546875,0.2756165742746995,0.5170941339670335,MaD,2
trans_y,0.0966683670805237,0.16709412314733013,0.0546875,0.10707709700425443,0.9027921908118561,MaD,2
trans_z,0.09017817464902501,0.22510520717404908,0.0625,0.060342145539518756,1.4944475986608985,MaD,2
rot_x,0.08918505459848708,0.2119643986121148,0.0546875,0.06548520083859277,1.3619115971273923,MaD,2
rot_y,0.1059582558565347,0.21512144598127483,0.0625,0.1056818574650856,1.0026153807078844,MaD,2
rot_z,0.16609212921117414,0.295576489338014,0.0546875,0.14754785813301924,1.1256830915760792,MaD,2
trans_x,0.15216357234418085,0.28897055598504884,0.046875,0.08577959883640528,1.7738899951839469,RoH,1
trans_y,0.05265029843421489,0.08499532233134778,0.046875,0.04846480430744555,1.0863615169388021,RoH,1
trans_z,0.16737687954535294,0.2793180591859614,0.0390625,0.10296006931667072,1.6256484722052083,RoH,1
rot_x,0.11755732891925083,0.17959270332651814,0.0625,0.08491176870174731,1.3844644927103644,RoH,1
rot_y,0.14946392900173056,0.21750000132217412,0.046875,0.13901901920673512,1.0751329548077844,RoH,1
rot_z,0.13314510949400205,0.20563197692724877,0.0546875,0.06024938061322069,2.209900050720117,RoH,1
trans_x,0.05103581641156696,0.16753412882370114,0.0390625,0.10973045053758086,0.46510167519614687,RoH,2
trans_y,0.09318463202258437,0.14608383896416421,0.0546875,0.08942035628151176,1.0420964061584852,RoH,2
trans_z,0.12266428549899608,0.255846574740566,0.0390625,0.13253260239413417,0.9255404571446874,RoH,2
rot_x,0.12986434860327653,0.2429227844633526,0.0625,0.0391034710326352,3.3210440107168284,RoH,2
rot_y,0.10748068376070914,0.19018238987552288,0.0625,0.02680742021281547,4.00936317282746,RoH,2
rot_z,0.04768829938697624,0.07257536539964596,0.046875,0.05331956661933693,0.894386476131689,RoH,2
trans_x,0.04814136287512032,0.12552476801635476,0.0546875,0.04038268082109331,1.1921289467924943,HaM,1
trans_y,0.09589510114954822,0.2259284378580512,0.0625,0.07393911457105312,1.2969468403317357,HaM,1
trans_z,0.15673603065073322,0.3736551819873153,0.0625,0.053612005122589054,2.9235248709685187,HaM,1
rot_x,0.17661986681268738,0.269850803861912,0.0390625,0.1540662134040713,1.146389352964919,HaM,1
rot_y,0.14712392869265675,0.35102485578320025,0.0546875,0.07525475444560707,1.9550117408660792,HaM,1
rot_z,0.11488462686139779,0.22934504133612252,0.0625,0.09722098751051698,1.1816854537792212,HaM,1
trans_x,0.11239249022890932,0.13802476170785502,0.0390625,0.04605960533852774,2.440153126776369,HaM,2
trans_y,0.047566265524416264,0.0932480491995833,0.0625,0.02820964392105091,1.686170356808503,HaM,2
trans_z,0.1470467890194443,0.214380944781881,0.046875,0.20580300665148885,0.7145026272478426,HaM,2
rot_x,0.06460136712164112,0.09272239330717283,0.046875,0.02699110765753628,2.39343148498985,HaM,2
rot_y,0.01724170281714942,0.02299778877820705,0.0625,0.02699178417250117,0.6387759565311512,HaM,2
rot_z,0.08858463360162205,0.14983579646666312,0.046875,0.06205178527451081,1.4275920195845038,HaM,2
trans_x,0.05104838888438926,0.1043007417411407,0.0625,0.22379601472461577,0.22810231417389093,ElL,1
trans_y,0.07574532215434907,0.20881758441760154,0.0546875,0.1256391073453381,0.602880135767469,ElL,1
trans_z,0.10268734848329863,0.18291138405592472,0.0546875,0.1342544935054634,0.7648708488303428,ElL,1
rot_x,0.12776205566217047,0.3224509428742242,0.0546875,0.10462921317173109,1.2210935327436843,ElL,1
rot_y,0.1751664677063649,0.33258891025709886,0.0546875,0.10845146691314272,1.6151599653800655,ElL,1
rot_z,0.11375777961230178,0.20766110010086944,0.0546875,0.12329530103530008,0.9226448904769522,ElL,1
trans_x,0.06177414529147937,0.09304286338069628,0.0546875,0.07818002198118709,0.7901525689942782,ElL,2
trans_y,0.15772341903364862,0.23463381681719286,0.0546875,0.079690335402247,1.9792038525073263,ElL,2
trans_z,0.05317357881016164,0.1534366357560919,0.0390625,0.05159964385949289,1.0305028238548377,ElL,2
rot_x,0.038932581506927584,0.0592372062345022,0.0625,0.05803112032994162,0.6708914323639357,ElL,2
rot_y,0.0750737784490901,0.14599254210051127,0.0625,0.055381415086368874,1.35557710463795,ElL,2
rot_z,0.07475581985047326,0.16142665267002967,0.0625,0.07998662985313577,0.9346039443626111,ElL,2
trans_x,0.06619878388470266,0.17637148670327576,0.0390625,0.09149350904973677,0.7235353032132894,TaR,1
trans_y,0.05274565221649697,0.12688808350454053,0.0390625,0.07271438357423388,0.7253812732952757,TaR,1
trans_z,0.02848942163697127,0.06005749818121164,0.0390625,0.06482762431501038,0.4394642236863263,TaR,1
rot_x,0.06907046163514487,0.20546252077912108,0.0390625,0.1236493492123937,0.5585994752033988,TaR,1
rot_y,0.02083554807445439,0.06094510611966504,0.0390625,0.0516018583977074,0.40377514843540147,TaR,1
rot_z,0.07956149832610421,0.13288621927775388,0.0390625,0.06545941982868522,1.2154323764674742,TaR,1
trans_x,0.15625915016737604,0.22486982245370615,0.046875,0.17239262217371204,0.9064143703277482,TaR,2
trans_y,0.13005636619688457,0.20794220320277934,0.0390625,0.192130017562867,0.6769185147585639,TaR,2
trans_z,0.039265341495768276,0.05710667133109939,0.0625,0.13296477278407323,0.29530634802048045,TaR,2
rot_x,0.06868950128849878,0.10886783235354137,0.0390625,0.08725540167427437,0.7872234829219548,TaR,2
rot_y,0.09007396704339429,0.1752799018641658,0.0625,0.10370793492636349,0.8685349584918135,TaR,2
rot_z,0.1390690791928481,0.283389073910074,0.0546875,0.10554385810778193,1.317642556889154,TaR,2
trans_x,0.06195745981481368,0.12352730798657598,0.0625,0.0986260304494649,0.6282059560709943,OrS,1
trans_y,0.07290996874435664,0.1287512295483374,0.046875,0.06876593528678486,1.0602628806583232,OrS,1
trans_z,0.036845693360060126,0.06969058953663582,0.0546875,0.12117352613355735,0.304073789922078,OrS,1
rot_x,0.3985414254011858,0.5874723990080861,0.0546875,0.3511113085468838,1.1350856995665808,OrS,1
rot_y,0.0732268183494467,0.08500929656599275,0.0625,0.08065794488482188,0.9078686341838544,OrS,1
rot_z,0.21072638300880803,0.3152414805344717,0.0546875,0.2170995501586019,0.9706440329231342,OrS,1
trans_x,0.1706960189448169,0.31203876406093545,0.0546875,0.04897704105228554,3.4852252183644064,OrS,2
trans_y,0.04233939612870579,0.12907818245483596,0.0546875,0.06079848063665475,0.6963890481424452,OrS,2
trans_z,0.06898994122212794,0.14592654950475906,0.0546875,0.05606581599420169,1.2305170249588653,OrS,2
rot_x,0.05461806083716835,0.09454422829548009,0.046875,0.041869867575442234,1.304471780530686,OrS,2
rot_y,0.15992284843015792,0.38479101030196317,0.0546875,0.09284609377842501,1.7224510127433568,OrS,2
rot_z,0.1335330081376777,0.3156992488406905,0.0546875,0.10337178269701408,1.2917742591311374,OrS,2
trans_x,0.08915307484008606,0.21014932320214397,0.0390625,0.03654930226787311,2.4392551721712676,ShR,1
trans_y,0.06257691865032831,0.12593812504061805,0.0625,0.10566251128969019,0.5922338758307626,ShR,1
trans_z,0.09475413456432794,0.1844751960061841,0.0390625,0.10680003265116304,0.8872107257223296,ShR,1
rot_x,0.15616601702021343,0.2994386254612808,0.0625,0.16776738694688853,0.9308484787723809,ShR,1
rot_y,0.06297347862680626,0.20373057572360617,0.0390625,0.06708280887251004,0.9387424228554927,ShR,1
rot_z,0.09264201615241639,0.28245796128646106,0.0625,0.09656447336036718,0.9593799130530063,ShR,1
trans_x,0.05927826666258133,0.0969903409579291,0.0625,0.06624937532856702,0.8947747247292582,ShR,2
trans_y,0.05509558977301119,0.1523016233923685,0.0390625,0.0578061413280434,0.9531096248932946,ShR,2
trans_z,0.04968502704992967,0.1070793869697307,0.0546875,0.21722311346481513,0.22872808622690435,ShR,2
rot_x,0.12268822568234694,0.2415096561369455,0.0625,0.04523635261289083,2.712159984714792,ShR,2
rot_y,0.04567375424456661,0.08616534838771311,0.0390625,0.10419901202157185,0.4383319315088879,ShR,2
rot_z,0.07080739168071215,0.13077161628174558,0.0625,0.03351275443903578,2.112849052686357,ShR,2
trans_x,0.01618966194178216,0.031771609888532754,0.0625,0.05573270232693197,0.2904876533307804,NH,1
trans_y,0.027090821020465818,0.06035781511649615,0.0625,0.06803846236113316,0.39816921253829624,NH,1
trans_z,0.02628038024531467,0.03276027307390681,0.046875,0.0822429432277129,0.31954571640992246,NH,1
rot_x,0.06624330431087874,0.12008025972806555,0.0625,0.1127116594564433,0.5877236176946333,NH,1
rot_y,0.01692293152939313,0.03726902587949385,0.0546875,0.036341757362278744,0.4656607910874546,NH,1
rot_z,0.058242359460549745,0.08549902503123569,0.046875,0.04673985837073659,1.2460961878396524,NH,1
trans_x,0.10632080985488195,0.32994538899342035,0.046875,0.17444901225595014,0.609466390316629,NH,2
trans_y,0.17400168852868889,0.26392629631634307,0.046875,0.10641924646704369,1.635058451753542,NH,2
trans_z,0.06586870334526805,0.1238377285395582,0.046875,0.1091760140809493,0.6033257747997346,NH,2
rot_x,0.12947639102149933,0.25406481980861384,0.0625,0.06842648475322015,1.8921970242843211,NH,2
rot_y,0.11438846120377838,0.2806222376977387,0.046875,0.1484221949919493,0.7706964658009091,NH,2
rot_z,0.1431652581536044,0.35047749604967227,0.046875,0.11946530734410393,1.1983835409337504,NH,2
trans_x,0.1796927159943024,0.3038759480010551,0.046875,0.11978189370795625,1.5001659289374727,NiC,1
trans_y,0.09591086915640207,0.19491973533323975,0.0390625,0.12336500842754784,0.7774560250201323,NiC,1
trans_z,0.06778115578812935,0.0896597799186847,0.046875,0.1694868072006351,0.39991995169216543,NiC,1
rot_x,0.11688635081160406,0.21361144478840713,0.046875,0.12835207571008433,0.9106697345865641,NiC,1
rot_y,0.1530860088848133,0.3540426108065372,0.0546875,0.08007188033056817,1.9118572969890106,NiC,1
rot_z,0.05748903858029357,0.11975898341272764,0.0390625,0.13444874452272082,0.4275907427891175,NiC,1
trans_x,0.0795852417650264,0.11347349148887463,0.0546875,0.10000156030067706,0.7958399993575258,NiC,2
trans_y,0.05761246888920322,0.08156811736892206,0.0546875,0.05057338856212856,1.1391854572787568,NiC,2
trans_z,0.04081648886988648,0.09283131410109556,0.0546875,0.08259613341880957,0.4941694862822043,NiC,2
rot_x,0.026935425599301396,0.03980422762775402,0.046875,0.0823450517402641,0.32710436143208343,NiC,2
rot_y,0.031174941655158748,0.060800236909824584,0.0625,0.09275133501956681,0.3361131310397934,NiC,2
rot_z,0.058684701303963374,0.09289905034147351,0.046875,0.07712144828388212,0.7609387859503439,NiC,2
trans_x,0.14892404257064512,0.2827022841645868,0.0546875,0.19258959173695575,0.7732715000337224,ToL,1
trans_y,0.09969744851774232,0.17650574085104248,0.0390625,0.08968201750475548,1.1116771364034943,ToL,1
trans_z,0.12380275579423564,0.18796238697597972,0.0390625,0.06844654660665585,1.8087509414437248,ToL,1
rot_x,0.0767506985890184,0.17712355636917507,0.0625,0.23692278269015563,0.32394815595677473,ToL,1
rot_y,0.02696134842104097,0.053311537260003795,0.0546875,0.031371469625647505,0.8594225472005516,ToL,1
rot_z,0.05557545597482019,0.10194501172694045,0.0625,0.11666256874816579,0.4763777835815585,ToL,1
